"","raceId","X","qualifyId","driverId","constructorId","number","position_indiv","position_team","Fastest_Qual","year","round","Rainfall","Air.Temp","Track.Temp","Wind.Speed","Single","Throttle","Brake","Fastest_Qual_Secs","circuitId"
"131",995,127,7664,8,6,7,5,3,"01:11.1",2018,7,"Dry",23.17878788,43.43484848,2.021212121,"No",56.7201826484018,0.395616438356164,71.1,7
"132",995,137,7674,840,3,18,17,17.5,"01:13.6",2018,7,"Dry",23.17878788,43.43484848,2.021212121,"No",77.2577777777778,0.683470319634703,73.6,7
"133",995,138,7675,845,3,35,18,17.5,"01:13.6",2018,7,"Dry",23.17878788,43.43484848,2.021212121,"No",81.3075799086758,0.715007610350076,73.6,7
"134",995,130,7667,839,10,31,8,9,"01:12.1",2018,7,"Dry",23.17878788,43.43484848,2.021212121,"No",69.0135768645358,0.582952815829528,72.1,7
"135",995,131,7668,832,4,55,9,8,"01:12.1",2018,7,"Dry",23.17878788,43.43484848,2.021212121,"No",55.1475799086758,0.432085235920852,72.1,7
"136",995,140,7677,154,210,8,20,15.5,"00:00.0",2018,7,"Dry",23.17878788,43.43484848,2.021212121,"No",102.03695585997,0.984901065449011,0,7
"137",995,128,7665,817,9,3,6,4.5,"01:11.1",2018,7,"Dry",23.17878788,43.43484848,2.021212121,"No",60.4789649923896,0.441156773211568,71.1,7
"138",995,129,7666,807,4,27,7,8,"01:11.9",2018,7,"Dry",23.17878788,43.43484848,2.021212121,"No",42.8666666666667,0.314033485540335,71.9,7
"139",995,142,7679,844,15,16,13,16,"01:12.7",2018,7,"Dry",23.17878788,43.43484848,2.021212121,"No",71.5467275494673,0.530228310502283,72.7,7
"140",995,141,7678,825,210,20,11,15.5,"01:12.6",2018,7,"Dry",23.17878788,43.43484848,2.021212121,"No",70.6061491628615,0.535098934550989,72.6,7
"141",996,159,7696,843,5,28,17,15.5,"01:33.0",2018,8,"1/2 Race",23.08082192,31.09589041,0.932876712,"No",82.5905122714545,0.699445451051447,93,34
"142",996,160,7697,838,1,2,18,17,"01:33.2",2018,8,"1/2 Race",23.08082192,31.09589041,0.932876712,"No",76.911217262395,0.671663097787295,93.2,34
"143",996,161,7698,845,3,35,19,19.5,"01:33.6",2018,8,"1/2 Race",23.08082192,31.09589041,0.932876712,"No",86.8324273870312,0.765771701531873,93.6,34
"144",996,149,7686,832,4,55,7,9.5,"01:32.0",2018,8,"1/2 Race",23.08082192,31.09589041,0.932876712,"No",34.4761434140449,0.163729204414429,92,34
"145",996,150,7687,844,15,16,8,11.5,"01:32.1",2018,8,"1/2 Race",23.08082192,31.09589041,0.932876712,"No",66.211936528853,0.451600505133696,92.1,34
"146",996,151,7688,825,210,20,9,9.5,"01:31.5",2018,8,"1/2 Race",23.08082192,31.09589041,0.932876712,"No",61.0369516279581,0.421237577554494,91.5,34
"147",996,162,7699,840,3,18,20,19.5,"01:33.7",2018,8,"1/2 Race",23.08082192,31.09589041,0.932876712,"No",86.1699884697743,0.742381815186954,93.7,34
"148",996,158,7695,4,1,14,16,17,"01:33.0",2018,8,"1/2 Race",23.08082192,31.09589041,0.932876712,"No",81.5695931477516,0.70636358644924,93,34
"149",996,145,7682,20,6,5,3,4.5,"01:30.4",2018,8,"1/2 Race",23.08082192,31.09589041,0.932876712,"No",50.0407401306759,0.310712128699281,90.4,34
"150",996,146,7683,830,9,33,4,4.5,"01:30.7",2018,8,"1/2 Race",23.08082192,31.09589041,0.932876712,"No",55.776643057157,0.290177345851864,90.7,34
"151",996,152,7689,154,210,8,10,9.5,"01:31.5",2018,8,"1/2 Race",23.08082192,31.09589041,0.932876712,"No",65.4083896118157,0.523801680118597,91.5,34
"152",996,148,7685,8,6,7,6,4.5,"01:30.8",2018,8,"1/2 Race",23.08082192,31.09589041,0.932876712,"No",57.0150441991984,0.354966232910558,90.8,34
"153",996,153,7690,839,10,31,11,12,"01:32.1",2018,8,"1/2 Race",23.08082192,31.09589041,0.932876712,"No",63.1026739142371,0.508647669247241,92.1,34
"154",996,154,7691,807,4,27,12,9.5,"01:32.1",2018,8,"1/2 Race",23.08082192,31.09589041,0.932876712,"No",59.4425959479493,0.448800307472684,92.1,34
"155",996,147,7684,817,9,3,5,4.5,"01:30.9",2018,8,"1/2 Race",23.08082192,31.09589041,0.932876712,"No",52.7904793279526,0.332015593257563,90.9,34
"156",996,157,7694,828,15,9,15,11.5,"01:32.8",2018,8,"1/2 Race",23.08082192,31.09589041,0.932876712,"No",70.756492615165,0.519958271564267,92.8,34
"157",996,143,7680,1,131,44,1,1.5,"01:30.0",2018,8,"1/2 Race",23.08082192,31.09589041,0.932876712,"No",69.6982924284851,0.506945588316038,90,34
"158",996,144,7681,822,131,77,2,1.5,"01:30.1",2018,8,"1/2 Race",23.08082192,31.09589041,0.932876712,"No",73.3993301487948,0.57014220611651,90.1,34
"159",996,155,7692,815,10,11,13,12,"01:32.5",2018,8,"1/2 Race",23.08082192,31.09589041,0.932876712,"No",65.9390545214956,0.514852028770658,92.5,34
"160",996,156,7693,842,5,10,14,15.5,"01:32.4",2018,8,"1/2 Race",23.08082192,31.09589041,0.932876712,"No",70.3282819963762,0.519628836545325,92.4,34
"161",997,165,7702,20,6,5,3,3.5,"01:03.5",2018,9,"Minimal",24.86969697,33.49242424,1.192424242,"No",61.6493913462697,0.500120525491141,63.5,70
"162",997,164,7701,1,131,44,2,1.5,"01:03.1",2018,9,"Minimal",24.86969697,33.49242424,1.192424242,"No",77.5333855610462,0.61299264794504,63.1,70
"163",997,170,7707,825,210,20,8,7,"01:04.1",2018,9,"Minimal",24.86969697,33.49242424,1.192424242,"No",73.0186814511269,0.5709292515367,64.1,70
"164",997,166,7703,8,6,7,4,3.5,"01:03.7",2018,9,"Minimal",24.86969697,33.49242424,1.192424242,"No",61.6006387851031,0.449319030975051,63.7,70
