,qualifyId,raceId,driverId,constructorId,number,position_indiv,position_team,Fastest_Qual,year,round,Rainfall,Air Temp,Track Temp,Wind Speed,Single,Throttle,Brake
94,7631,993,842,5,10,12,16.0,01:18.5,2018,5,1/2 Race,18.69552239,27.10298507,1.773134328,No,69.12335516433335,0.5342786757195217
95,7632,993,839,10,31,13,14.0,01:18.7,2018,5,1/2 Race,18.69552239,27.10298507,1.773134328,No,65.3142462296461,0.5198581986420717
96,7633,993,844,15,16,14,15.5,01:18.7,2018,5,1/2 Race,18.69552239,27.10298507,1.773134328,No,73.32728474433696,0.5911794748542931
97,7634,993,815,10,11,15,14.0,01:18.7,2018,5,1/2 Race,18.69552239,27.10298507,1.773134328,No,66.45652827014361,0.5267680105750165
98,7635,993,807,4,27,16,12.5,01:18.9,2018,5,1/2 Race,18.69552239,27.10298507,1.773134328,No,83.78946103466923,0.7583969236315569
99,7636,993,828,15,9,17,15.5,01:19.5,2018,5,1/2 Race,18.69552239,27.10298507,1.773134328,No,80.38304392236977,0.7005347593582888
100,7637,993,845,3,35,18,18.5,01:19.7,2018,5,1/2 Race,18.69552239,27.10298507,1.773134328,No,88.16793847263114,0.7869374511806766
101,7638,993,840,3,18,19,18.5,01:20.2,2018,5,1/2 Race,18.69552239,27.10298507,1.773134328,No,85.45033948206454,0.7547317190410383
102,7639,993,843,5,28,20,16.0,00:00.0,2018,5,1/2 Race,18.69552239,27.10298507,1.773134328,No,0.0,0.0
103,7640,994,817,9,3,1,10.5,01:10.8,2018,6,Dry,26.60895522,47.45373134,1.120895522,No,51.90391027584116,0.4266141254925735
104,7641,994,20,6,5,2,3.0,01:11.0,2018,6,Dry,26.60895522,47.45373134,1.120895522,No,47.99945438011519,0.406486814186117
105,7642,994,1,131,44,3,4.0,01:11.2,2018,6,Dry,26.60895522,47.45373134,1.120895522,No,59.66486814186117,0.5049408911791452
106,7643,994,8,6,7,4,3.0,01:11.3,2018,6,Dry,26.60895522,47.45373134,1.120895522,No,51.48972415883601,0.41939981812670507
107,7644,994,4,1,14,7,9.5,01:12.1,2018,6,Dry,26.60895522,47.45373134,1.120895522,No,55.37362837223401,0.47359806001818733
108,7645,994,832,4,55,8,9.5,01:12.1,2018,6,Dry,26.60895522,47.45373134,1.120895522,No,36.248923916338285,0.27996362534101243
109,7646,994,815,10,11,9,7.5,01:12.2,2018,6,Dry,26.60895522,47.45373134,1.120895522,No,54.60460745680509,0.48384358896635343
110,7647,994,842,5,10,10,13.0,01:12.2,2018,6,Dry,26.60895522,47.45373134,1.120895522,No,50.32658381327675,0.3799939375568354
111,7648,994,838,1,2,12,9.5,01:12.4,2018,6,Dry,26.60895522,47.45373134,1.120895522,No,60.16574719612004,0.5359199757502273
112,7649,994,845,3,35,13,15.5,01:12.5,2018,6,Dry,26.60895522,47.45373134,1.120895522,No,65.73676871779327,0.602606850560776
113,7650,994,844,15,16,14,15.5,01:12.7,2018,6,Dry,26.60895522,47.45373134,1.120895522,No,62.2584419521067,0.5456805092452258
114,7651,994,154,210,8,15,17.0,01:12.7,2018,6,Dry,26.60895522,47.45373134,1.120895522,No,65.87280994240679,0.5932706880872992
115,7652,994,843,5,28,16,13.0,01:13.2,2018,6,Dry,26.60895522,47.45373134,1.120895522,No,79.02800848742044,0.7140345559260382
116,7653,994,828,15,9,17,15.5,01:13.3,2018,6,Dry,26.60895522,47.45373134,1.120895522,No,78.1827220369809,0.7113670809336162
