"raceId","resultId","grid","year","Air.Temp","Track.Temp","Wind.Speed","track_group","driverRef","team_rank","final_position","constructorRef","circuitRef","Rainfall2"
1019,24393,12,2019,"18.905084745762718","30.32203389830509","2.011864406779661","High_Speed","raikkonen",8,7,"alfa","silverstone","Dry"
998,23962,2,2018,"27.43163265306122","52.16938775510204","1.4612244897959183","High_Speed","vettel",1,1,"ferrari","silverstone","Dry"
1061,25153,14,2021,"29.400000000000002","50.93152173913043","0.3179347826086957","High_Speed","stroll",6,5,"aston_martin","silverstone","Dry"
1019,24388,3,2019,"18.905084745762718","30.32203389830509","2.011864406779661","High_Speed","leclerc",3,3,"ferrari","silverstone","Dry"
1034,24694,6,2020,"21.29140625","40.6328125","3.1140625","High_Speed","stroll",7,5,"racing_point","silverstone","Dry"
1034,24688,4,2020,"21.29140625","40.6328125","3.1140625","High_Speed","leclerc",4,3,"ferrari","silverstone","Dry"
1034,24698,7,2020,"21.29140625","40.6328125","3.1140625","High_Speed","sainz",3,8,"mclaren","silverstone","Dry"
1035,24711,6,2020,"25.287068965517243","43.227586206896554","2.236206896551724","High_Speed","stroll",3,5,"racing_point","silverstone","Dry"
1034,24687,3,2020,"21.29140625","40.6328125","3.1140625","High_Speed","max_verstappen",6,2,"red_bull","silverstone","Dry"
998,23974,14,2018,"27.43163265306122","52.16938775510204","1.4612244897959183","High_Speed","gasly",6,7,"toro_rosso","silverstone","Dry"
1035,24708,1,2020,"25.287068965517243","43.227586206896554","2.236206896551724","High_Speed","bottas",1,3,"mercedes","silverstone","Dry"
1061,25156,11,2021,"29.400000000000002","50.93152173913043","0.3179347826086957","High_Speed","gasly",7,6,"alphatauri","silverstone","Dry"
1019,24390,4,2019,"18.905084745762718","30.32203389830509","2.011864406779661","High_Speed","max_verstappen",3,5,"red_bull","silverstone","Dry"
1034,24686,1,2020,"21.29140625","40.6328125","3.1140625","High_Speed","hamilton",1,1,"mercedes","silverstone","Dry"
998,23963,1,2018,"27.43163265306122","52.16938775510204","1.4612244897959183","High_Speed","hamilton",1,2,"mercedes","silverstone","Dry"
1019,24391,13,2019,"18.905084745762718","30.32203389830509","2.011864406779661","High_Speed","sainz",7,6,"mclaren","silverstone","Dry"
1035,24716,7,2020,"25.287068965517243","43.227586206896554","2.236206896551724","High_Speed","gasly",7,6,"alphatauri","silverstone","Dry"
1019,24386,2,2019,"18.905084745762718","30.32203389830509","2.011864406779661","High_Speed","hamilton",1,1,"mercedes","silverstone","Dry"
1019,24389,5,2019,"18.905084745762718","30.32203389830509","2.011864406779661","High_Speed","gasly",3,4,"red_bull","silverstone","Dry"
1019,24398,18,2019,"18.905084745762718","30.32203389830509","2.011864406779661","High_Speed","stroll",9,8,"racing_point","silverstone","Dry"
1061,25146,2,2021,"29.400000000000002","50.93152173913043","0.3179347826086957","High_Speed","hamilton",1,1,"mercedes","silverstone","Dry"
1035,24707,2,2020,"25.287068965517243","43.227586206896554","2.236206896551724","High_Speed","hamilton",1,2,"mercedes","silverstone","Dry"
998,23971,12,2018,"27.43163265306122","52.16938775510204","1.4612244897959183","High_Speed","perez",5,5,"force_india","silverstone","Dry"
1019,24401,6,2019,"18.905084745762718","30.32203389830509","2.011864406779661","High_Speed","vettel",3,9,"ferrari","silverstone","Dry"
1019,24387,1,2019,"18.905084745762718","30.32203389830509","2.011864406779661","High_Speed","bottas",1,2,"mercedes","silverstone","Dry"
1035,24709,8,2020,"25.287068965517243","43.227586206896554","2.236206896551724","High_Speed","leclerc",5,4,"ferrari","silverstone","Dry"
1034,24696,2,2020,"21.29140625","40.6328125","3.1140625","High_Speed","bottas",1,7,"mercedes","silverstone","Dry"
998,23973,19,2018,"27.43163265306122","52.16938775510204","1.4612244897959183","High_Speed","stroll",7,6,"williams","silverstone","Dry"
1034,24702,16,2020,"21.29140625","40.6328125","3.1140625","High_Speed","raikkonen",9,9,"alfa","silverstone","Dry"
1061,25151,10,2021,"29.400000000000002","50.93152173913043","0.3179347826086957","High_Speed","sainz",4,4,"ferrari","silverstone","Dry"
1034,24695,10,2020,"21.29140625","40.6328125","3.1140625","High_Speed","vettel",4,6,"ferrari","silverstone","Dry"
1061,25147,4,2021,"29.400000000000002","50.93152173913043","0.3179347826086957","High_Speed","leclerc",4,2,"ferrari","silverstone","Dry"
998,23964,3,2018,"27.43163265306122","52.16938775510204","1.4612244897959183","High_Speed","raikkonen",1,3,"ferrari","silverstone","Dry"
998,23965,4,2018,"27.43163265306122","52.16938775510204","1.4612244897959183","High_Speed","bottas",1,4,"mercedes","silverstone","Dry"
